,date,location,stringency_index
400,2020-08,Australia,75.10193548387096
401,2020-09,Australia,74.72
402,2020-10,Australia,67.22322580645161
403,2020-11,Australia,63.91833333333333
404,2020-12,Australia,65.9932258064516
405,2021-01,Australia,60.675161290322585
406,2021-02,Australia,62.46642857142857
407,2021-03,Australia,50.910000000000004
408,2021-04,Australia,49.13633333333333
409,2021-05,Australia,46.42935483870968
410,2021-06,Australia,62.5
411,2021-07,Australia,68.06
412,2021-08,Australia,70.44709677419355
413,2021-09,Australia,71.76
414,2021-10,Australia,70.50741935483872
415,2021-11,Australia,67.07133333333333
416,2021-12,Australia,56.09870967741935
417,2022-01,Australia,53.020322580645164
418,2022-02,Australia,42.63392857142857
419,2022-03,Australia,36.001290322580644
420,2022-04,Australia,40.73066666666667
421,2022-05,Australia,31.419354838709676
422,2022-06,Australia,17.77733333333333
423,2022-07,Australia,11.558387096774194
424,2022-08,Australia,11.11
425,2022-09,Australia,11.110000000000001
427,2020-02,Austria,11.11
428,2020-03,Austria,52.92612903225807
429,2020-04,Austria,78.64200000000001
430,2020-05,Austria,60.60193548387097
431,2020-06,Austria,50.24666666666667
432,2020-07,Austria,39.03709677419355
433,2020-08,Austria,37.96
434,2020-09,Austria,37.099000000000004
435,2020-10,Austria,51.16548387096775
436,2020-11,Austria,78.11833333333334
437,2020-12,Austria,75.60064516129032
438,2021-01,Austria,82.41
439,2021-02,Austria,77.68071428571429
440,2021-03,Austria,74.40548387096774
441,2021-04,Austria,77.775
442,2021-05,Austria,70.05290322580645
443,2021-06,Austria,57.997
444,2021-07,Austria,48.93032258064516
445,2021-08,Austria,51.026774193548384
446,2021-09,Austria,51.16233333333333
447,2021-10,Austria,50.09032258064516
448,2021-11,Austria,48.82899999999999
449,2021-12,Austria,49.32064516129032
450,2022-01,Austria,53.36258064516129
451,2022-02,Austria,50.05642857142857
452,2022-03,Austria,38.69741935483871
453,2022-04,Austria,39.35
454,2022-05,Austria,36.53032258064516
455,2022-06,Austria,35.18999999999999
456,2022-07,Austria,35.19
457,2022-08,Austria,35.19
458,2022-09,Austria,35.18999999999999
459,2022-10,Austria,35.19
460,2020-03,Azerbaijan,49.762258064516125
461,2020-04,Azerbaijan,89.78533333333333
462,2020-05,Azerbaijan,81.66290322580646
463,2020-06,Azerbaijan,85.434
464,2020-07,Azerbaijan,95.94129032258064
465,2020-08,Azerbaijan,87.6083870967742
466,2020-09,Azerbaijan,77.19233333333334
467,2020-10,Azerbaijan,66.76935483870967
468,2020-11,Azerbaijan,66.018
469,2020-12,Azerbaijan,79.13741935483871
470,2021-01,Azerbaijan,83.21225806451612
471,2021-02,Azerbaijan,69.9725
472,2021-03,Azerbaijan,68.48677419354838
473,2021-04,Azerbaijan,71.943
474,2021-05,Azerbaijan,74.88064516129033
475,2021-06,Azerbaijan,68.25666666666667
476,2021-07,Azerbaijan,59.72548387096774
477,2021-08,Azerbaijan,58.83096774193548
478,2021-09,Azerbaijan,55.707
479,2021-10,Azerbaijan,59.66645161290323
480,2021-11,Azerbaijan,57.525
481,2021-12,Azerbaijan,59.685806451612905
482,2022-01,Azerbaijan,59.3316129032258
483,2022-02,Azerbaijan,59.10785714285714
484,2022-03,Azerbaijan,56.511935483870964
485,2022-04,Azerbaijan,47.13366666666666
486,2022-05,Azerbaijan,45.99935483870968
487,2022-06,Azerbaijan,42.57933333333334
488,2022-07,Azerbaijan,40.29709677419355
489,2022-08,Azerbaijan,42.84354838709677
490,2022-09,Azerbaijan,40.808
492,2020-03,Bahamas,72.2225
493,2020-04,Bahamas,96.3
494,2020-05,Bahamas,95.82129032258065
495,2020-06,Bahamas,80.61666666666666
496,2020-07,Bahamas,67.51741935483871
497,2020-08,Bahamas,82.10645161290323
498,2020-09,Bahamas,76.38799999999999
499,2020-10,Bahamas,71.99870967741936
500,2020-11,Bahamas,68.98
501,2020-12,Bahamas,68.98
502,2021-01,Bahamas,68.98
503,2021-02,Bahamas,68.98
504,2021-03,Bahamas,68.71290322580644
505,2021-04,Bahamas,63.333999999999996
506,2021-05,Bahamas,61.21354838709677
507,2021-06,Bahamas,58.208
508,2021-07,Bahamas,52.55516129032258
509,2021-08,Bahamas,54.67612903225807
510,2021-09,Bahamas,51.01733333333333
511,2021-10,Bahamas,46.69967741935484
512,2021-11,Bahamas,40.33866666666667
513,2021-12,Bahamas,46.864838709677414
514,2022-01,Bahamas,44.38354838709678
515,2022-02,Bahamas,47.682500000000005
516,2022-03,Bahamas,60.3341935483871
517,2022-04,Bahamas,44.81066666666666
518,2022-05,Bahamas,45.97774193548387
519,2022-06,Bahamas,43.70399999999999
520,2022-07,Bahamas,40.74
521,2022-08,Bahamas,40.74
522,2022-09,Bahamas,40.74
523,2022-10,Bahamas,40.74
524,2020-02,Bahrain,28.706666666666667
525,2020-03,Bahrain,49.19548387096774
526,2020-04,Bahrain,75.98666666666666
527,2020-05,Bahrain,75.0
528,2020-06,Bahrain,75.0
529,2020-07,Bahrain,70.51612903225806
530,2020-08,Bahrain,66.75451612903225
531,2020-09,Bahrain,61.29966666666667
532,2020-10,Bahrain,59.83129032258064
533,2020-11,Bahrain,54.63
534,2020-12,Bahrain,52.48161290322581
535,2021-01,Bahrain,52.0041935483871
536,2021-02,Bahrain,57.04392857142857
537,2021-03,Bahrain,56.24225806451613
538,2021-04,Bahrain,55.83133333333333
539,2021-05,Bahrain,55.79193548387097
540,2021-06,Bahrain,66.67
541,2021-07,Bahrain,44.296129032258065
542,2021-08,Bahrain,44.4483870967742
543,2021-09,Bahrain,24.408
544,2021-10,Bahrain,23.572580645161292
545,2021-11,Bahrain,23.676666666666666
546,2021-12,Bahrain,26.794193548387096
547,2022-01,Bahrain,33.100322580645155
548,2022-02,Bahrain,34.0525
549,2022-03,Bahrain,29.63
550,2022-04,Bahrain,12.961999999999998
551,2022-05,Bahrain,11.11
552,2022-06,Bahrain,11.109999999999998
553,2022-07,Bahrain,11.11
554,2022-08,Bahrain,11.11
555,2022-09,Bahrain,11.109999999999998
556,2022-10,Bahrain,11.11
557,2020-03,Bangladesh,53.318333333333335
558,2020-04,Bangladesh,91.48333333333333
559,2020-05,Bangladesh,90.61935483870967
560,2020-06,Bangladesh,68.75
561,2020-07,Bangladesh,77.40451612903226
562,2020-08,Bangladesh,80.09
563,2020-09,Bangladesh,80.09
564,2020-10,Bangladesh,80.09
565,2020-11,Bangladesh,80.09
566,2020-12,Bangladesh,80.09
567,2021-01,Bangladesh,80.27
568,2021-02,Bangladesh,81.02
569,2021-03,Bangladesh,81.1690322580645
570,2021-04,Bangladesh,83.51533333333333
571,2021-05,Bangladesh,79.20967741935483
572,2021-06,Bangladesh,78.702
573,2021-07,Bangladesh,74.58258064516129
574,2021-08,Bangladesh,74.52064516129032
575,2021-09,Bangladesh,64.75333333333333
576,2021-10,Bangladesh,56.39354838709678
577,2021-11,Bangladesh,42.218666666666664
578,2021-12,Bangladesh,39.9641935483871
579,2022-01,Bangladesh,56.00258064516129
580,2022-02,Bangladesh,53.534642857142856
581,2022-03,Bangladesh,15.36516129032258
582,2022-04,Bangladesh,13.890000000000002
583,2022-05,Bangladesh,13.89
584,2022-06,Bangladesh,13.890000000000002
585,2022-07,Bangladesh,13.89
586,2022-08,Bangladesh,13.89
587,2022-09,Bangladesh,13.890000000000002
588,2022-10,Bangladesh,13.89
589,2020-03,Barbados,49.690666666666665
590,2020-04,Barbados,86.17333333333333
591,2020-05,Barbados,82.19709677419355
592,2020-06,Barbados,71.42066666666666
593,2020-07,Barbados,53.28677419354838
594,2020-08,Barbados,44.68483870967742
595,2020-09,Barbados,37.656666666666666
596,2020-10,Barbados,32.14
597,2020-11,Barbados,40.74
598,2020-12,Barbados,40.97903225806452
599,2021-01,Barbados,62.33774193548387
600,2021-02,Barbados,73.54142857142857
601,2021-03,Barbados,70.13129032258065
602,2021-04,Barbados,70.67833333333333
603,2021-05,Barbados,69.53451612903227
604,2021-06,Barbados,60.06066666666666
605,2021-07,Barbados,45.608387096774194
606,2021-08,Barbados,50.627096774193554
607,2021-09,Barbados,70.37000000000002
608,2021-10,Barbados,67.59
609,2021-11,Barbados,67.59
610,2021-12,Barbados,66.13677419354839
611,2022-01,Barbados,62.475806451612904
612,2022-02,Barbados,52.61214285714285
613,2022-03,Barbados,43.59870967741935
614,2022-04,Barbados,42.236
615,2022-05,Barbados,38.71806451612903
616,2022-06,Barbados,36.833
617,2022-07,Barbados,45.30903225806451
618,2022-08,Barbados,32.10677419354839
619,2022-09,Barbados,26.85
621,2020-02,Belarus,0.0
622,2020-03,Belarus,4.836774193548387
623,2020-04,Belarus,28.578666666666667
624,2020-05,Belarus,31.48
625,2020-06,Belarus,31.48
626,2020-07,Belarus,31.48
627,2020-08,Belarus,31.48
628,2020-09,Belarus,31.48
629,2020-10,Belarus,32.01806451612904
630,2020-11,Belarus,37.04
631,2020-12,Belarus,38.47225806451613
632,2021-01,Belarus,42.59
633,2021-02,Belarus,42.589999999999996
634,2021-03,Belarus,42.59
635,2021-04,Belarus,42.59
636,2021-05,Belarus,42.800000000000004
637,2021-06,Belarus,43.52
638,2021-07,Belarus,37.244516129032256
639,2021-08,Belarus,39.72354838709678
640,2021-09,Belarus,19.44
641,2021-10,Belarus,19.44
642,2021-11,Belarus,19.44
643,2021-12,Belarus,19.44
644,2022-01,Belarus,22.192580645161293
645,2022-02,Belarus,22.554285714285715
646,2022-03,Belarus,15.560967741935483
647,2022-04,Belarus,13.890000000000002
648,2022-05,Belarus,13.89
649,2022-06,Belarus,11.758666666666667
650,2022-07,Belarus,11.11
651,2022-08,Belarus,5.739032258064516
652,2022-09,Belarus,5.559999999999999
654,2020-02,Belgium,11.110000000000001
655,2020-03,Belgium,49.223225806451616
656,2020-04,Belgium,81.48
657,2020-05,Belgium,76.55225806451612
658,2020-06,Belgium,57.06666666666667
659,2020-07,Belgium,51.16483870967742
660,2020-08,Belgium,58.361612903225804
661,2020-09,Belgium,52.59466666666667
662,2020-10,Belgium,50.50645161290323
663,2020-11,Belgium,64.50633333333333
664,2020-12,Belgium,60.19
665,2021-01,Belgium,60.63677419354839
666,2021-02,Belgium,62.96
667,2021-03,Belgium,63.67709677419355
668,2021-04,Belgium,69.26333333333334
669,2021-05,Belgium,51.76548387096774
670,2021-06,Belgium,50.93
671,2021-07,Belgium,50.69064516129033
672,2021-08,Belgium,47.22
673,2021-09,Belgium,43.06000000000001
674,2021-10,Belgium,32.04129032258064
675,2021-11,Belgium,34.187000000000005
676,2021-12,Belgium,35.96258064516129
677,2022-01,Belgium,33.799354838709675
678,2022-02,Belgium,33.37571428571429
679,2022-03,Belgium,23.02
680,2022-04,Belgium,17.59
681,2022-05,Belgium,16.78290322580645
682,2022-06,Belgium,14.81
683,2022-07,Belgium,14.81
684,2022-08,Belgium,14.809999999999999
687,2020-03,Belize,54.63
688,2020-04,Belize,75.24666666666667
689,2020-05,Belize,81.42354838709677
690,2020-06,Belize,74.07666666666667
691,2020-07,Belize,69.44
692,2020-08,Belize,72.06096774193549
693,2020-09,Belize,72.23566666666667
694,2020-10,Belize,68.2783870967742
695,2020-11,Belize,67.225
696,2020-12,Belize,72.22
697,2021-01,Belize,72.4
698,2021-02,Belize,73.15
699,2021-03,Belize,73.15
700,2021-04,Belize,54.38433333333334
701,2021-05,Belize,58.27516129032258
702,2021-06,Belize,64.91033333333333
703,2021-07,Belize,64.42806451612903
704,2021-08,Belize,64.51838709677419
705,2021-09,Belize,61.11
706,2021-10,Belize,70.37
707,2021-11,Belize,70.37000000000002
708,2021-12,Belize,72.70161290322581
709,2022-01,Belize,71.65193548387097
710,2022-02,Belize,58.31357142857143
711,2022-03,Belize,50.101612903225806
712,2022-04,Belize,38.977999999999994
713,2022-05,Belize,33.12387096774193
714,2022-06,Belize,33.10766666666667
715,2022-07,Belize,31.235806451612905
716,2022-08,Belize,30.20709677419355
717,2022-09,Belize,30.187666666666665
719,2020-03,Benin,32.466875
720,2020-04,Benin,70.83
721,2020-05,Benin,61.91806451612903
722,2020-06,Benin,42.19466666666667
723,2020-07,Benin,41.67
724,2020-08,Benin,41.67
725,2020-09,Benin,44.63
726,2020-10,Benin,46.145806451612906
727,2020-11,Benin,38.27066666666667
728,2020-12,Benin,37.696451612903225
729,2021-01,Benin,29.781612903225806
730,2021-02,Benin,29.368571428571425
731,2021-03,Benin,41.40064516129033
732,2021-04,Benin,39.22633333333333
733,2021-05,Benin,38.89
734,2021-06,Benin,31.483333333333334
735,2021-07,Benin,38.80032258064516
736,2021-08,Benin,37.93516129032258
737,2021-09,Benin,47.775999999999996
738,2021-10,Benin,50.0
739,2021-11,Benin,50.0
740,2021-12,Benin,51.076129032258066
741,2022-01,Benin,49.1
742,2022-02,Benin,44.94607142857143
743,2022-03,Benin,25.93290322580645
744,2022-04,Benin,13.890000000000002
745,2022-05,Benin,13.89
746,2022-06,Benin,12.068620689655173
747,2022-07,Benin,8.24548387096774
748,2022-08,Benin,5.56
749,2022-09,Benin,5.56
750,2022-10,Benin,5.56
751,2020-03,Bermuda,45.93846153846154
752,2020-04,Bermuda,91.855
753,2020-05,Bermuda,76.70645161290322
754,2020-06,Bermuda,66.67
755,2020-07,Bermuda,48.98161290322581
756,2020-08,Bermuda,44.44
757,2020-09,Bermuda,37.53333333333333
758,2020-10,Bermuda,35.18709677419355
759,2020-11,Bermuda,37.96
760,2020-12,Bermuda,54.80838709677419
761,2021-01,Bermuda,56.54290322580645
762,2021-02,Bermuda,49.207499999999996
763,2021-03,Bermuda,54.511935483870964
764,2021-04,Bermuda,73.45466666666667
765,2021-05,Bermuda,56.04741935483871
766,2021-06,Bermuda,45.08266666666667
767,2021-07,Bermuda,36.30806451612903
768,2021-08,Bermuda,42.681612903225805
769,2021-09,Bermuda,45.754333333333335
770,2021-10,Bermuda,51.20322580645161
771,2021-11,Bermuda,40.76733333333333
772,2021-12,Bermuda,39.73258064516129
773,2022-01,Bermuda,45.42709677419355
774,2022-02,Bermuda,39.54642857142857
775,2022-03,Bermuda,36.26774193548387
776,2022-04,Bermuda,16.083333333333332
777,2022-05,Bermuda,16.041612903225808
778,2022-06,Bermuda,16.03
779,2022-07,Bermuda,16.03
780,2022-08,Bermuda,14.580322580645161
781,2022-09,Bermuda,13.890000000000002
783,2020-03,Bhutan,43.08923076923077
784,2020-04,Bhutan,83.33
785,2020-05,Bhutan,83.33
786,2020-06,Bhutan,83.33
787,2020-07,Bhutan,66.4574193548387
788,2020-08,Bhutan,86.16838709677418
789,2020-09,Bhutan,86.204
790,2020-10,Bhutan,77.78
791,2020-11,Bhutan,69.569
792,2020-12,Bhutan,71.44096774193548
793,2021-01,Bhutan,76.89516129032258
794,2021-02,Bhutan,43.06
795,2021-03,Bhutan,44.77129032258065
796,2021-04,Bhutan,69.893
797,2021-05,Bhutan,69.59612903225806
798,2021-06,Bhutan,66.73033333333333
799,2021-07,Bhutan,61.993870967741934
800,2021-08,Bhutan,68.29225806451613
801,2021-09,Bhutan,62.775
802,2021-10,Bhutan,58.42161290322581
803,2021-11,Bhutan,48.82533333333333
804,2021-12,Bhutan,50.14612903225807
805,2022-01,Bhutan,68.47129032258064
806,2022-02,Bhutan,74.99749999999999
807,2022-03,Bhutan,64.68129032258064
808,2022-04,Bhutan,48.27133333333334
809,2022-05,Bhutan,26.521935483870966
810,2022-06,Bhutan,22.219999999999995
811,2022-07,Bhutan,20.78774193548387
812,2022-08,Bhutan,15.055806451612904
813,2022-09,Bhutan,11.11
815,2020-03,Bolivia,73.32523809523809
816,2020-04,Bolivia,96.3
817,2020-05,Bolivia,95.67225806451611
818,2020-06,Bolivia,89.28999999999999
819,2020-07,Bolivia,89.81
820,2020-08,Bolivia,89.81
821,2020-09,Bolivia,81.48
822,2020-10,Bolivia,81.48
823,2020-11,Bolivia,82.49933333333334
824,2020-12,Bolivia,48.47548387096774
825,2021-01,Bolivia,33.24774193548387
826,2021-02,Bolivia,19.44
827,2021-03,Bolivia,21.233548387096775
828,2021-04,Bolivia,27.409333333333333
829,2021-05,Bolivia,27.78
830,2021-06,Bolivia,27.780000000000005
831,2021-07,Bolivia,45.37032258064516
832,2021-08,Bolivia,53.494193548387095
833,2021-09,Bolivia,42.22366666666667
834,2021-10,Bolivia,40.385161290322586
835,2021-11,Bolivia,29.363999999999997
836,2021-12,Bolivia,25.837419354838712
837,2022-01,Bolivia,28.49451612903226
838,2022-02,Bolivia,28.372857142857146
839,2022-03,Bolivia,28.31451612903226
840,2022-04,Bolivia,27.812
841,2022-05,Bolivia,24.07
842,2022-06,Bolivia,25.46
843,2022-07,Bolivia,28.7
844,2022-08,Bolivia,24.10322580645161
845,2022-09,Bolivia,23.587391304347825
878,2020-03,Bosnia and Herzegovina,53.189629629629636
879,2020-04,Bosnia and Herzegovina,91.32433333333333
880,2020-05,Bosnia and Herzegovina,79.36096774193548
881,2020-06,Bosnia and Herzegovina,52.962
882,2020-07,Bosnia and Herzegovina,56.599999999999994
883,2020-08,Bosnia and Herzegovina,57.04838709677419
884,2020-09,Bosnia and Herzegovina,41.852
885,2020-10,Bosnia and Herzegovina,41.27709677419355
886,2020-11,Bosnia and Herzegovina,47.53
887,2020-12,Bosnia and Herzegovina,46.056774193548385
888,2021-01,Bosnia and Herzegovina,42.59
889,2021-02,Bosnia and Herzegovina,42.589999999999996
890,2021-03,Bosnia and Herzegovina,42.59
891,2021-04,Bosnia and Herzegovina,44.62866666666666
892,2021-05,Bosnia and Herzegovina,42.86064516129032
893,2021-06,Bosnia and Herzegovina,36.608333333333334
894,2021-07,Bosnia and Herzegovina,35.19
895,2021-08,Bosnia and Herzegovina,35.19
896,2021-09,Bosnia and Herzegovina,35.18999999999999
897,2021-10,Bosnia and Herzegovina,35.19
898,2021-11,Bosnia and Herzegovina,37.964999999999996
899,2021-12,Bosnia and Herzegovina,35.19
900,2022-01,Bosnia and Herzegovina,38.711612903225806
901,2022-02,Bosnia and Herzegovina,37.89714285714285
902,2022-03,Bosnia and Herzegovina,36.34483870967742
903,2022-04,Bosnia and Herzegovina,36.352666666666664
904,2022-05,Bosnia and Herzegovina,32.70548387096774
905,2022-06,Bosnia and Herzegovina,25.93
906,2022-07,Bosnia and Herzegovina,25.93
907,2022-08,Bosnia and Herzegovina,24.76483870967742
908,2022-09,Bosnia and Herzegovina,25.93
909,2022-10,Bosnia and Herzegovina,25.929999999999996
910,2020-03,Botswana,61.11
911,2020-04,Botswana,85.27666666666667
912,2020-05,Botswana,74.10290322580646
913,2020-06,Botswana,59.57033333333333
914,2020-07,Botswana,57.111290322580636
915,2020-08,Botswana,53.269677419354835
916,2020-09,Botswana,57.037
917,2020-10,Botswana,62.81483870967742
918,2020-11,Botswana,52.90333333333333
919,2020-12,Botswana,50.92516129032258
920,2021-01,Botswana,53.969032258064516
921,2021-02,Botswana,58.26714285714286
922,2021-03,Botswana,62.04
923,2021-04,Botswana,62.04
924,2021-05,Botswana,61.32258064516129
925,2021-06,Botswana,63.60966666666666
926,2021-07,Botswana,59.43774193548387
927,2021-08,Botswana,65.41129032258064
928,2021-09,Botswana,60.092666666666666
929,2021-10,Botswana,17.234516129032258
930,2021-11,Botswana,13.890000000000002
931,2021-12,Botswana,19.865806451612904
932,2022-01,Botswana,19.62451612903226
933,2022-02,Botswana,13.89
